#t	x0	y0	x1	y1
0.254732	999.937378	399.986572	1187.635742	437.396515
0.256293	999.937439	399.986511	1187.482788	437.615448
0.257853	999.937500	399.986450	1187.328979	437.834045
0.259412	999.937561	399.986389	1187.174316	438.052277
0.260970	999.937622	399.986328	1187.018799	438.270172
0.262527	999.937683	399.986267	1186.862305	438.487701
0.264082	999.937744	399.986206	1186.704956	438.704895
0.265637	999.937805	399.986145	1186.546753	438.921722
0.267190	999.937866	399.986084	1186.387695	439.138184
0.268743	999.937927	399.986023	1186.227783	439.354309
0.270294	999.937988	399.985962	1186.067017	439.570068
0.271844	999.938049	399.985901	1185.905396	439.785461
0.273393	999.938110	399.985840	1185.742920	440.000488
0.274941	999.938171	399.985779	1185.579590	440.215149
0.276488	999.938232	399.985718	1185.415405	440.429443
0.278033	999.938293	399.985657	1185.250366	440.643372
0.279578	999.938354	399.985596	1185.084473	440.856934
0.281121	999.938416	399.985535	1184.917725	441.070129
0.282663	999.938477	399.985474	1184.750122	441.282959
0.284204	999.938538	399.985413	1184.581665	441.495392
0.285744	999.938599	399.985352	1184.412354	441.707458
0.287283	999.938660	399.985291	1184.242310	441.919159
0.288821	999.938721	399.985229	1184.071411	442.130463
0.290357	999.938782	399.985168	1183.899658	442.341400
0.291892	999.938843	399.985107	1183.727051	442.551941
0.293427	999.938904	399.985046	1183.553589	442.762115
0.294960	999.938965	399.984985	1183.379272	442.971893
0.296491	999.939026	399.984924	1183.204102	443.181274
0.298022	999.939087	399.984863	1183.028198	443.390289
0.299551	999.939148	399.984802	1182.851440	443.598907
0.301080	999.939209	399.984741	1182.673828	443.807129
0.302607	999.939270	399.984680	1182.495361	444.014954
0.304132	999.939331	399.984619	1182.316162	444.222382
0.305657	999.939392	399.984558	1182.136108	444.429413
0.307181	999.939453	399.984497	1181.955200	444.636047
0.308703	999.939514	399.984436	1181.773438	444.842285
0.310224	999.939575	399.984375	1181.590942	445.048126
0.311744	999.939636	399.984314	1181.407593	445.253571
0.313262	999.939697	399.984253	1181.223389	445.458618
0.314780	999.939758	399.984192	1181.038452	445.663239
0.316296	999.939819	399.984131	1180.852661	445.867462
0.317811	999.939880	399.984070	1180.666138	446.071289
0.319325	999.939941	399.984009	1180.478760	446.274689
0.320837	999.940002	399.983948	1180.290527	446.477692
0.322349	999.940063	399.983887	1180.101563	446.680298
0.323859	999.940125	399.983826	1179.911743	446.882477
0.325368	999.940186	399.983765	1179.721191	447.084229
0.326875	999.940247	399.983704	1179.529785	447.285583
0.328382	999.940308	399.983643	1179.337646	447.486511
0.329887	999.940369	399.983582	1179.144653	447.687042
0.331391	999.940430	399.983521	1178.950928	447.887146
0.332894	999.940491	399.983459	1178.756348	448.086823
0.334395	999.940552	399.983398	1178.561035	448.286072
0.335895	999.940613	399.983337	1178.364868	448.484894
0.337394	999.940674	399.983276	1178.167969	448.683289
0.338892	999.940735	399.983215	1177.970215	448.881256
0.340388	999.940796	399.983154	1177.771729	449.078796
0.341883	999.940857	399.983093	1177.572388	449.275909
0.343377	999.940918	399.983032	1177.372314	449.472595
0.344870	999.940979	399.982971	1177.171509	449.668854
0.346361	999.941040	399.982910	1176.969849	449.864685
0.347851	999.941101	399.982849	1176.767456	450.060089
0.349340	999.941162	399.982788	1176.564331	450.255035
0.350827	999.941223	399.982727	1176.360352	450.449554
0.352314	999.941284	399.982666	1176.155640	450.643646
0.353799	999.941345	399.982605	1175.950195	450.837280
0.355282	999.941406	399.982544	1175.743896	451.030487
0.356765	999.941467	399.982483	1175.536865	451.223236
0.358246	999.941528	399.982422	1175.329102	451.415558
0.359726	999.941589	399.982361	1175.120605	451.607422
0.361204	999.941650	399.982300	1174.911255	451.798859
0.362681	999.941711	399.982239	1174.701172	451.989838
0.364157	999.941772	399.982178	1174.490356	452.180389
0.365632	999.941833	399.982117	1174.278809	452.370483
0.367105	999.941895	399.982056	1174.066528	452.560120
0.368577	999.941956	399.981995	1173.853394	452.749298
0.370048	999.942017	399.981934	1173.639526	452.938019
0.371517	999.942078	399.981873	1173.424927	453.126282
0.372985	999.942139	399.981812	1173.209595	453.314117
0.374452	999.942200	399.981750	1172.993530	453.501495
0.375918	999.942261	399.981689	1172.776733	453.688416
0.377382	999.942322	399.981628	1172.559204	453.874878
0.378844	999.942383	399.981567	1172.340942	454.060852
0.380306	999.942444	399.981506	1172.121948	454.246368
0.381766	999.942505	399.981445	1171.902222	454.431427
0.383225	999.942566	399.981384	1171.681763	454.616028
0.384683	999.942627	399.981323	1171.460449	454.800171
0.386139	999.942688	399.981262	1171.238403	454.983826
0.387594	999.942749	399.981201	1171.015747	455.167023
0.389047	999.942810	399.981140	1170.792358	455.349762
0.390499	999.942871	399.981079	1170.568237	455.532013
0.391950	999.942932	399.981018	1170.343384	455.713806
0.393400	999.942993	399.980957	1170.117798	455.895142
0.394848	999.943054	399.980896	1169.891479	456.075989
0.396295	999.943115	399.980835	1169.664429	456.256348
0.397740	999.943176	399.980774	1169.436646	456.436249
0.399185	999.943237	399.980713	1169.208130	456.615662
0.400627	999.943298	399.980652	1168.978882	456.794617
0.402069	999.943359	399.980591	1168.748901	456.973083
0.403509	999.943420	399.980530	1168.518188	457.151062
0.404948	999.943481	399.980469	1168.286865	457.328552
0.406385	999.943542	399.980408	1168.054810	457.505585
0.407821	999.943604	399.980347	1167.822021	457.682129
0.409256	999.943665	399.980286	1167.588501	457.858185
0.410690	999.943726	399.980225	1167.354248	458.033752
0.412122	999.943787	399.980164	1167.119385	458.208832
0.413552	999.943848	399.980103	1166.883789	458.383423
0.414981	999.943909	399.980042	1166.647461	458.557526
0.416409	999.943970	399.979980	1166.410522	458.731140
0.417836	999.944031	399.979919	1166.172852	458.904266
0.419261	999.944092	399.979858	1165.934448	459.076904
0.420685	999.944153	399.979797	1165.695313	459.249023
0.422108	999.944214	399.979736	1165.455566	459.420654
0.423529	999.944275	399.979675	1165.215088	459.591797
0.424948	999.944336	399.979614	1164.973877	459.762451
0.426367	999.944397	399.979553	1164.732056	459.932587
0.427784	999.944458	399.979492	1164.489502	460.102234
0.429199	999.944519	399.979431	1164.246338	460.271393
0.430614	999.944580	399.979370	1164.002441	460.440033
0.432027	999.944641	399.979309	1163.757813	460.608185
0.433438	999.944702	399.979248	1163.512573	460.775818
0.434848	999.944763	399.979187	1163.266602	460.942963
0.436257	999.944824	399.979126	1163.020020	461.109589
0.437664	999.944885	399.979065	1162.772705	461.275696
0.439070	999.944946	399.979004	1162.524780	461.441315
0.440475	999.945007	399.978943	1162.276123	461.606415
0.441878	999.945068	399.978882	1162.026855	461.770996
0.443280	999.945129	399.978821	1161.776855	461.935089
0.444680	999.945190	399.978760	1161.526245	462.098663
0.446079	999.945251	399.978699	1161.274902	462.261719
0.447477	999.945313	399.978638	1161.022949	462.424255
0.448873	999.945374	399.978577	1160.770264	462.586273
0.450268	999.945435	399.978516	1160.516968	462.747772
0.451662	999.945496	399.978455	1160.263062	462.908752
0.453054	999.945557	399.978394	1160.008423	463.069214
0.454444	999.945618	399.978333	1159.753174	463.229156
0.455834	999.945679	399.978271	1159.497192	463.388580
0.457222	999.945740	399.978210	1159.240601	463.547485
0.458608	999.945801	399.978149	1158.983398	463.705872
0.459993	999.945862	399.978088	1158.725464	463.863739
0.461377	999.945923	399.978027	1158.466919	464.021088
0.462759	999.945984	399.977966	1158.207764	464.177887
0.464140	999.946045	399.977905	1157.947876	464.334167
0.465520	999.946106	399.977844	1157.687378	464.489929
0.466898	999.946167	399.977783	1157.426270	464.645142
0.468275	999.946228	399.977722	1157.164551	464.799835
0.469650	999.946289	399.977661	1156.902100	464.954010
0.471024	999.946350	399.977600	1156.639038	465.107635
0.472396	999.946411	399.977539	1156.375366	465.260742
0.473767	999.946472	399.977478	1156.111084	465.413300
0.475137	999.946533	399.977417	1155.846191	465.565308
0.476505	999.946594	399.977356	1155.580566	465.716797
0.477872	999.946655	399.977295	1155.314331	465.867737
0.479238	999.946716	399.977234	1155.047485	466.018158
0.480602	999.946777	399.977173	1154.780029	466.168030
0.481964	999.946838	399.977112	1154.511963	466.317352
